motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.998Z", "log.level": "INFO", "message":"loaded module [ingest-attachment]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.998Z", "log.level": "INFO", "message":"loaded module [wildcard]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.998Z", "log.level": "INFO", "message":"loaded module [x-pack-sql]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.998Z", "log.level": "INFO", "message":"loaded module [unsigned-long]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.998Z", "log.level": "INFO", "message":"loaded module [x-pack-async]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.999Z", "log.level": "INFO", "message":"loaded module [runtime-fields-common]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.999Z", "log.level": "INFO", "message":"loaded module [vector-tile]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.999Z", "log.level": "INFO", "message":"loaded module [lang-expression]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.999Z", "log.level": "INFO", "message":"loaded module [x-pack-eql]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T20:00:01.470Z", "log.level": "INFO", "message":"using [1] data paths, mounts [[/usr/share/elasticsearch/data (/dev/sde)]], net usable_space [702.6gb], net total_space [1006.8gb], types [ext4]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.env.NodeEnvironment","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
